,case_url,case_id
0,https://www.nejm.org/image-challenge?ci=20240222,case_1
1,https://www.nejm.org/image-challenge?ci=20240201,case_4
2,https://www.nejm.org/image-challenge?ci=20240118,case_6
3,https://www.nejm.org/image-challenge?ci=20240111,case_7
4,https://www.nejm.org/image-challenge?ci=20240104,case_8
5,https://www.nejm.org/image-challenge?ci=20231228,case_9
6,https://www.nejm.org/image-challenge?ci=20231214,case_11
7,https://www.nejm.org/image-challenge?ci=20231207,case_12
8,https://www.nejm.org/image-challenge?ci=20231130,case_13
9,https://www.nejm.org/image-challenge?ci=20231123,case_14
10,https://www.nejm.org/image-challenge?ci=20231116,case_15
11,https://www.nejm.org/image-challenge?ci=20231109,case_16
12,https://www.nejm.org/image-challenge?ci=20231102,case_17
13,https://www.nejm.org/image-challenge?ci=20231026,case_18
14,https://www.nejm.org/image-challenge?ci=20230921,case_23
15,https://www.nejm.org/image-challenge?ci=20230831,case_26
16,https://www.nejm.org/image-challenge?ci=20230810,case_29
17,https://www.nejm.org/image-challenge?ci=20230727,case_31
18,https://www.nejm.org/image-challenge?ci=20230720,case_32
19,https://www.nejm.org/image-challenge?ci=20230713,case_33
20,https://www.nejm.org/image-challenge?ci=20230622,case_36
21,https://www.nejm.org/image-challenge?ci=20230615,case_37
22,https://www.nejm.org/image-challenge?ci=20230601,case_39
23,https://www.nejm.org/image-challenge?ci=20230518,case_41
24,https://www.nejm.org/image-challenge?ci=20230511,case_42
25,https://www.nejm.org/image-challenge?ci=20230504,case_43
26,https://www.nejm.org/image-challenge?ci=20230413,case_46
27,https://www.nejm.org/image-challenge?ci=20230406,case_47
28,https://www.nejm.org/image-challenge?ci=20230330,case_48
29,https://www.nejm.org/image-challenge?ci=20230323,case_49
30,https://www.nejm.org/image-challenge?ci=20230316,case_50
31,https://www.nejm.org/image-challenge?ci=20230309,case_51
32,https://www.nejm.org/image-challenge?ci=20230302,case_52
33,https://www.nejm.org/image-challenge?ci=20230223,case_53
34,https://www.nejm.org/image-challenge?ci=20230209,case_55
35,https://www.nejm.org/image-challenge?ci=20230202,case_56
36,https://www.nejm.org/image-challenge?ci=20230126,case_57
37,https://www.nejm.org/image-challenge?ci=20230119,case_58
38,https://www.nejm.org/image-challenge?ci=20230105,case_60
39,https://www.nejm.org/image-challenge?ci=20221222,case_62
40,https://www.nejm.org/image-challenge?ci=20221215,case_63
41,https://www.nejm.org/image-challenge?ci=20221117,case_67
42,https://www.nejm.org/image-challenge?ci=20221103,case_69
43,https://www.nejm.org/image-challenge?ci=20221027,case_70
44,https://www.nejm.org/image-challenge?ci=20221020,case_71
45,https://www.nejm.org/image-challenge?ci=20221013,case_72
46,https://www.nejm.org/image-challenge?ci=20221006,case_73
47,https://www.nejm.org/image-challenge?ci=20220929,case_74
48,https://www.nejm.org/image-challenge?ci=20220922,case_75
49,https://www.nejm.org/image-challenge?ci=20220908,case_77
50,https://www.nejm.org/image-challenge?ci=20220901,case_78
51,https://www.nejm.org/image-challenge?ci=20220811,case_81
52,https://www.nejm.org/image-challenge?ci=20220804,case_82
53,https://www.nejm.org/image-challenge?ci=20220721,case_84
54,https://www.nejm.org/image-challenge?ci=20220714,case_85
55,https://www.nejm.org/image-challenge?ci=20220707,case_86
56,https://www.nejm.org/image-challenge?ci=20220623,case_88
57,https://www.nejm.org/image-challenge?ci=20220616,case_89
58,https://www.nejm.org/image-challenge?ci=20220609,case_90
59,https://www.nejm.org/image-challenge?ci=20220602,case_91
60,https://www.nejm.org/image-challenge?ci=20220526,case_92
61,https://www.nejm.org/image-challenge?ci=20220512,case_94
62,https://www.nejm.org/image-challenge?ci=20220505,case_95
63,https://www.nejm.org/image-challenge?ci=20220414,case_98
64,https://www.nejm.org/image-challenge?ci=20220331,case_100
65,https://www.nejm.org/image-challenge?ci=20220310,case_103
66,https://www.nejm.org/image-challenge?ci=20220303,case_104
67,https://www.nejm.org/image-challenge?ci=20220224,case_105
68,https://www.nejm.org/image-challenge?ci=20220203,case_108
69,https://www.nejm.org/image-challenge?ci=20220127,case_109
70,https://www.nejm.org/image-challenge?ci=20220120,case_110
71,https://www.nejm.org/image-challenge?ci=20220113,case_111
72,https://www.nejm.org/image-challenge?ci=20220106,case_112
73,https://www.nejm.org/image-challenge?ci=20211230,case_113
74,https://www.nejm.org/image-challenge?ci=20211223,case_114
75,https://www.nejm.org/image-challenge?ci=20211209,case_116
76,https://www.nejm.org/image-challenge?ci=20211202,case_117
77,https://www.nejm.org/image-challenge?ci=20211118,case_119
78,https://www.nejm.org/image-challenge?ci=20211111,case_120
79,https://www.nejm.org/image-challenge?ci=20211104,case_121
80,https://www.nejm.org/image-challenge?ci=20211028,case_122
81,https://www.nejm.org/image-challenge?ci=20211014,case_124
82,https://www.nejm.org/image-challenge?ci=20211007,case_125
83,https://www.nejm.org/image-challenge?ci=20210930,case_126
84,https://www.nejm.org/image-challenge?ci=20210923,case_127
85,https://www.nejm.org/image-challenge?ci=20210909,case_129
86,https://www.nejm.org/image-challenge?ci=20210902,case_130
87,https://www.nejm.org/image-challenge?ci=20210826,case_131
88,https://www.nejm.org/image-challenge?ci=20210819,case_132
89,https://www.nejm.org/image-challenge?ci=20210812,case_133
90,https://www.nejm.org/image-challenge?ci=20210805,case_134
91,https://www.nejm.org/image-challenge?ci=20210729,case_135
92,https://www.nejm.org/image-challenge?ci=20210722,case_136
93,https://www.nejm.org/image-challenge?ci=20210715,case_137
94,https://www.nejm.org/image-challenge?ci=20210708,case_138
95,https://www.nejm.org/image-challenge?ci=20210701,case_139
96,https://www.nejm.org/image-challenge?ci=20210624,case_140
97,https://www.nejm.org/image-challenge?ci=20210617,case_141
98,https://www.nejm.org/image-challenge?ci=20210603,case_143
99,https://www.nejm.org/image-challenge?ci=20210527,case_144
