case_id	vignette_FRQ_GPT3	vignette_FRQ_GPT4	conversation_PE_FRQ_GPT3	conversation_PE_FRQ_GPT4	conversation_FRQ_GPT3	conversation_FRQ_GPT4
public_case01	0.2	1.0	0.0	0.1	0.0	0.1
public_case02	0.0	0.0	0.0	0.0	0.0	0.0
public_case03	0.0	0.1	0.0	0.0	0.0	0.0
public_case04	1.0	1.0	0.7	0.8	0.7	0.8
public_case05	0.1	0.9	0.0	0.4	0.0	0.4
public_case06	0.0	0.0	0.0	0.0	0.0	0.0
public_case07	0.0	0.9	0.0	0.2	0.0	0.2
public_case08	1.0	0.9	0.5	0.8	0.5	0.7
public_case09	0.9	1.0	0.5	0.8	0.5	0.8
public_case10	0.0	0.0	0.0	0.0	0.0	0.0
public_case11	0.0	0.0	0.0	0.0	0.0	0.0
public_case12	0.9	1.0	0.3	0.9	0.3	0.9
public_case13	1.0	1.0	0.7	0.6	0.7	0.6
public_case14	0.3	0.1	0.3	0.0	0.3	0.0
public_case15	0.0	0.0	0.0	0.0	0.0	0.0
public_case16	0.0	0.9	0.3	0.1	0.3	0.2
public_case17	0.0	0.0	0.0	0.0	0.0	0.1
public_case18	0.9	1.0	0.0	0.0	0.0	0.0
public_case19	0.8	0.0	0.0	0.0	0.0	0.0
public_case20	0.0	1.0	0.1	0.1	0.1	0.1
public_case21	0.2	0.0	0.4	0.0	0.4	0.0
public_case22	1.0	1.0	0.1	0.3	0.1	0.3
public_case23	1.0	0.1	0.6	0.9	0.6	0.9
public_case24	0.0	0.0	0.0	0.0	0.0	0.0
public_case25	0.7	0.9	0.0	0.4	0.0	0.4
public_case26	0.1	0.9	0.0	0.1	0.0	0.1
public_case27	0.0	1.0	0.1	0.9	0.1	0.9
public_case28	0.1	0.0	0.0	0.0	0.0	0.0
public_case29	0.0	0.2	0.0	0.0	0.0	0.0
public_case30	0.0	0.0	0.0	0.0	0.0	0.0
public_case31	0.0	0.0	0.0	0.0	0.0	0.0
public_case32	0.4	0.0	0.0	0.0	0.0	0.0
public_case33	0.0	0.0	0.0	0.0	0.0	0.0
public_case34	1.0	1.0	0.2	0.8	0.2	0.8
public_case35	0.9	1.0	0.8	0.8	0.8	0.8
public_case36	0.0	1.0	0.0	0.1	0.0	0.1
public_case37	0.0	0.0	0.0	0.0	0.0	0.0
public_case38	0.0	0.4	0.0	0.0	0.0	0.0
public_case39	0.1	0.2	0.2	0.2	0.2	0.3
public_case40	0.0	0.0	0.0	0.0	0.0	0.0
public_case41	0.0	0.9	0.2	0.0	0.2	0.0
public_case42	0.0	0.0	0.0	0.0	0.0	0.0
public_case43	0.0	0.8	0.0	0.2	0.0	0.2
public_case44	0.0	0.4	0.0	0.0	0.0	0.0
public_case45	0.2	0.1	0.0	0.0	0.0	0.0
public_case46	0.9	1.0	0.1	0.0	0.1	0.0
public_case47	0.0	0.2	0.0	0.0	0.0	0.0
public_case48	0.0	0.0	0.0	0.0	0.0	0.0
public_case49	0.1	0.8	0.0	0.0	0.0	0.0
public_case50	1.0	1.0	0.2	0.2	0.2	0.3
public_case51	0.1	0.5	0.0	0.0	0.0	0.0
public_case52	0.1	1.0	0.5	0.8	0.5	0.8
public_case53	0.0	0.0	0.0	0.0	0.0	0.0
public_case54	1.0	0.6	0.4	1.0	0.5	1.0
public_case55	0.0	0.0	0.0	0.0	0.0	0.0
public_case56	1.0	1.0	0.1	0.1	0.1	0.1
public_case57	0.9	1.0	0.6	0.6	0.6	0.6
public_case58	0.0	0.0	0.0	0.0	0.0	0.0
public_case59	0.0	1.0	0.2	0.7	0.3	0.7
public_case60	0.0	0.0	0.0	0.0	0.0	0.0
public_case61	0.0	0.0	0.0	0.1	0.0	0.0
public_case62	0.0	0.0	0.0	0.0	0.0	0.0
public_case63	0.3	0.0	0.1	0.0	0.1	0.0
public_case64	0.1	0.0	0.1	0.3	0.1	0.3
public_case65	0.8	0.1	0.2	0.0	0.4	0.0
public_case66	0.0	1.0	0.4	0.3	0.4	0.3
public_case67	0.0	1.0	0.0	0.0	0.0	0.0
public_case68	0.1	0.0	0.0	0.0	0.0	0.0
public_case69	0.0	0.9	0.0	0.1	0.0	0.1
public_case70	1.0	1.0	0.1	0.4	0.1	0.4
public_case71	0.4	0.9	0.9	0.4	0.0	0.5
public_case72	0.0	0.0	0.1	0.1	0.1	0.1
public_case73	1.0	1.0	0.9	1.0	0.9	1.0
public_case74	0.0	1.0	0.1	0.2	0.1	0.2
public_case75	1.0	1.0	0.7	0.5	0.6	0.5
public_case76	1.0	1.0	0.2	0.0	0.2	0.0
public_case77	0.0	1.0	0.3	0.1	0.3	0.1
public_case78	0.0	0.0	0.0	0.0	0.0	0.0
public_case79	0.0	0.0	0.1	0.0	0.1	0.0
public_case80	0.9	0.3	0.5	0.3	1.0	0.3
public_case81	0.0	0.0	0.0	0.0	0.0	0.0
public_case82	1.0	1.0	0.9	1.0	0.9	1.0
public_case83	0.7	1.0	0.0	0.6	0.0	0.6
public_case84	0.0	0.0	0.0	0.0	0.0	0.0
public_case85	1.0	1.0	0.2	1.0	0.2	1.0
public_case86	1.0	1.0	0.7	0.7	0.7	0.7
public_case87	0.0	0.0	0.0	0.0	0.0	0.0
public_case88	0.0	0.0	0.0	0.0	0.0	0.0
public_case89	1.0	1.0	0.0	0.5	0.0	0.5
public_case90	0.2	0.2	0.0	0.0	0.0	0.0
public_case91	0.5	0.2	0.0	0.0	0.0	0.0
public_case92	1.0	1.0	0.9	0.7	0.9	0.7
public_case93	1.0	0.1	0.2	0.7	0.2	0.7
public_case94	0.0	0.0	0.0	0.0	0.0	0.0
public_case95	1.0	1.0	0.1	0.3	0.1	0.3
public_case96	0.9	1.0	0.0	0.0	0.0	0.0
public_case97	0.2	0.2	0.7	0.6	0.6	0.6
public_case98	1.0	1.0	0.2	0.1	0.2	0.1
public_case99	0.0	1.0	0.0	0.0	0.0	0.0
public_case100	0.0	0.9	0.1	0.0	0.1	0.0
